CASE_ID,CLUSTER
2025206503,1
2025206510,1
2025206644,0
2025206715,1
2025207186,0
2025207571,2
2025207749,2
2025207762,2
2025208283,2
2025208729,0
2025208973,2
2025209037,2
2025209046,2
2025209138,2
2025209121,2
2025209180,2
2025209207,2
2025209196,2
2025209204,2
2025209200,2
2025209294,0
2025209212,2
2025209258,2
2025209234,2
2025209636,2
2025209792,2
2025209822,2
2025209895,2
2025209939,2
2025209947,0
2025209974,2
2025209993,2
2025210024,2
2025210031,2
2025210150,2
2025210230,2
2025210339,2
2025210463,2
2025210521,2
2025210551,3
2025210608,3
2025210729,3
2025210777,3
2025210890,3
2025211494,3
2025211572,3
2025211709,3
2025211958,3
2025211980,3
2025212128,3
2025212199,3
2025212253,3
2025212350,3
2025212366,3
2025212496,3
2025212563,3
2025212694,3
2025212749,3
2025212796,3
2025212825,3
2025212976,3
2025213087,3
2025213130,0
2025213149,3
2025213280,3
2025213298,3
2025213414,3
2025213500,3
2025213605,3
2025213681,3
2025213757,3
2025213869,3
2025213907,3
2025214004,3
2025214144,1
2025214309,1
2025214321,1
2025214396,1
2025214427,0
2025214656,1
2025214734,1
2025214820,1
2025215172,1
2025215357,1
2025215358,1
2025215515,1
2025215558,1
2025215632,0
2025215691,1
2025215752,1
2025215805,1
2025216169,1
2025216776,2
2025216929,2
2025216940,2
2025217067,2
2025217151,2
2025217384,2
2025217511,2
2025217674,2
2025217693,2
2025217748,2
2025217862,2
2025217873,2
2025217898,0
2025217904,2
2025218110,0
2025218146,2
2025218176,2
2025218188,2
2025218410,2
2025218536,2
2025218848,0
2025218959,2
2025218993,2
2025219423,2
2025219440,2
2025219556,2
2025219726,2
2025219900,2
2025220111,0
2025220288,3
2025220460,3
2025220451,3
2025220569,3
2025220689,3
2025220776,3
2025220928,3
2025221045,3
2025221235,3
2025221240,3
2025221344,3
2025221537,3
2025221705,3
2025221780,3
2025222042,3
2025222161,3
2025222171,3
2025222198,3
2025222450,3
2025222570,3
2025223117,3
2025223112,3
2025223133,3
2025223241,0
2025223240,3
2025223271,3
2025223297,3
2025223716,3
2025223756,3
2025223821,3
2025223938,3
2025224067,3
2025224092,3
2025224309,1
2025224465,1
2025224489,1
2025224667,1
2025224812,1
2025224825,1
2025224890,1
2025224954,1
2025225331,1
2025225701,1
2025225726,1
2025225773,1
2025226045,1
2025226056,1
2025226282,1
2025226508,1
2025226518,1
2025226552,1
2025226632,1
2025226936,0
2025227038,2
2025227120,2
2025227435,0
2025227468,2
2025227572,2
2025227974,2
2025228356,0
2025228559,2
2025228643,2
2025228829,2
2025228902,2
2025228919,2
2025228929,2
2025228970,2
2025229045,2
2025229140,2
2025229178,2
2025229200,2
2025229216,2
2025229334,0
2025229344,2
2025229369,2
2025229429,2
2025229599,2
2025229752,2
2025229826,2
2025230077,2
2025230097,2
2025230186,3
2025230184,0
2025230199,3
2025230213,3
2025230515,3
2025230529,3
2025230549,3
2025230564,3
2025230562,3
2025230588,3
2025230664,3
2025230757,3
2025230895,3
2025230942,3
2025231005,3
2025231168,3
2025231700,3
2025231870,3
2025232142,3
2025232267,3
2025232293,0
2025232515,3
2025232582,3
2025232594,3
2025232737,3
2025232811,3
2025232927,3
2025233066,3
2025233100,3
2025233122,3
2025233310,3
2025233751,3
2025233824,3
2025233982,1
2025234097,0
2025234190,1
2025234280,1
2025234420,1
2025234569,1
2025234608,1
2025234580,1
2025234647,1
2025234575,1
2025234589,1
2025234636,1
2025234730,1
2025234681,1
2025234757,1
2025234830,1
2025234866,1
2025235016,1
2025235017,1
2025235055,1
2025235079,1
2025235413,0
2025235512,0
2025235531,1
2025235551,1
2025235635,1
2025235733,0
2025235830,1
2025236092,1
2025236113,1
2025236346,1
2025236400,1
2025236409,1
2025236508,1
2025236683,1
2025236700,1
2025236827,0
2025236825,1
2025236869,0
2025236959,2
2025237004,2
2025237073,2
2025237112,2
2025237176,2
2025237324,2
2025237327,2
2025237351,2
2025237496,2
2025237502,2
2025237722,2
2025237737,2
2025238114,2
2025238154,2
2025238168,2
2025238264,2
2025238349,2
2025238413,2
2025238409,2
2025238590,2
2025238702,2
2025238728,2
2025238791,0
2025238826,2
2025238852,2
2025238979,2
2025239035,2
2025239231,2
2025239234,2
2025239437,2
2025239459,2
2025239554,2
2025239593,2
2025239614,2
2025239811,2
2025239869,2
2025239877,2
